Claim Text  Veracity  Category  Published Date
CNN asked a survivor of the 14 February 2018 mass shooting in Parkland, Florida to deliver scripted remarks during a televised town hall.	False	Politics	2018-02-22
The cast of the film "Black Panther" was placed on an FBI watch list.	False	Entertainment	2018-02-21
Laura Phelps is a crisis actor who lost children during school shootings at Sandy Hook Elementary in 2012 and Marjory Stoneman Douglas High School in 2018.	False	Fake News	2018-02-21
We fact-check a series of statements purportedly made by Donald Trump on the campaign trail in 2015 and 2016.	True	Politics	2018-02-21
Donald Trump registered his "Make America Great Again" slogan in November 2012.	True	Politics	2018-02-21
Fox News personality Tomi Lahren said that people who die during mass shootings don't believe in God enough.	False	Fake News	2018-02-20
The Make-a-Wish Foundation apologized for sending	False	Viral Phenomena	2018-02-19
Image depicts high school senior Chris Williams, shot nine times while protecting fellow students, leaving him in critical condition.	False	Fauxtography	2018-02-19
A baseball team for third-graders in Neosho, Missouri is raffling off an AR-15 rifle even after it was used to commit the mass shooting in Parkland, Florida.	True	Politics	2018-02-19
A photograph shows a twenty-foot-long shark that washed up on a beach in Kitty Hawk, North Carolina.	False	Viral Phenomena	2018-02-19
A viral Facebook video shows Prince George of Cambridge reciting the alphabet through Biblical verses.	False	Viral Phenomena	2018-02-19
Eyewitness testimony confirms that there was a second shooter during the Parkland, Florida school shooting on 14 February 2018.	False	Crime	2018-02-19
BuzzFeed News published a story calling for guns to be taken away from white people.	False	Crime	2018-02-15
An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a "MAGA" hat.	True	Fauxtography	2018-02-15
"The Simpsons" predicted that there would be a mass shooting at a screening of the movie "Black Panther."	False	Fake News	2018-02-16
The rapper DMX (Earl Simmons) died in February 2018.	False	Entertainment	2018-02-16
Metallica lead singer James Hetfield was photographed near a brown bear he shot and killed.	False	Viral Phenomena	2018-02-19
White people have been attacked by black filmgoers at showings of "Black Panther."	False	Viral Phenomena	2018-02-16
After a gunman killed schoolchildren and a teacher in Scotland in 1996, the UK banned handguns; no school shootings have taken place there since.	True	Politics	2018-02-16
Production of the flu shot caused the influenza virus to mutate into a more virulent strain, driving the deadly 2017-2018 flu season.	False	Medical	2018-02-14
A Florida gun owner voluntarily gave up his AR-57 rifle to law enforcement after the Parkland school shooting.	True	Politics	2018-02-19
The gunman suspected of killing at least seventeen people at a school in Florida in February 2018 was a registered Democrat.	False	Fake News	2018-02-16
The Archbishop of Melbourne, Australia, called child sexual abuse a "spiritual encounter with God, through the priest."	False	Religion	2018-02-15
A photograph shows Florida school shooter Nikolas Cruz wearing an antifa t-shirt.	False	Fauxtography	2018-02-15
The FBI received a warning about about suspected killer in the Parkland, Florida, school shooting.	True	Crime	2018-02-15
The accused school shooter in Florida is a Dreamer, a DACA recipient, or undocumented.	False	Horrors	2018-02-14
Snopes.com is an extremely liberal site with an agenda to discredit conservatives, paid for either by George Soros or the Clintons, or maybe Facebook.	False	Fake News	2018-02-17
Tamiflu is responsible for the increased number of deaths this flu season.	False	Medical	2018-02-14
Accused school shooter Nikolas Cruz has ties to the Islamic State or other Islamic extremist groups.	False	Crime	2018-02-15
President Donald Trump blocked Jennie Willoughby, one of the ex-wives of former White House staff secretary Rob Porter, on Twitter.	False	Politics	2018-02-13
A taxi driver in Nigeria (or Zambia, or New York City, among other places) is using his cab to pick up victims.	False	Viral Phenomena	2018-02-13
Kehinde Wiley, the artist who painted former President Barack Obama's official portrait, also produced a pair of paintings depicting black women decapitating white people.	True	Racial Rumors	2018-02-13
The official portrait of former President Barack Obama contains secretly-placed images of sperm cells, including one on his forehead.	False	Politics	2018-02-13
A former Canadian defense minister said aliens have visited earth and have technology that would solve climate change, but won't share it with humans because we are too destructive.	True	Superstition	2018-02-14
Vice President Mike Pence said that White House aide Rob Porter's purported domestic abuse was supported by the Bible.	False	Fake News	2018-02-13
President Trump's oft-repeated slogan "America First" was also a credo of the white supremacist Ku Klux Klan organization.	True	History	2018-02-09
A video shows Muslim migrants destroying a car in Italy.	False	Fake News	2018-02-13
President Trump has proposed defunding NASA’s interest in the International Space Station to allow for commercial development of the asset.	True	Politics	2018-02-13
In response to Donald Trump's congratulations on the Falcon Heavy launch, SpaceX CEO Elon Musk called the president a "dumbass."	False	Science	2018-02-11
A judge cut fifteen years off the sentence of a man convicted of lewd acts with a 3-year-old girl because the perpetrator claimed the child had 'asked to be raped.'	False	Fake News	2018-02-12
Sen. Cory Booker released a statement showing a preference for enrollees in the DACA program over military veterans.	False	Politics	2018-02-12
An American teenager got 30 years in prison for killing a "Muslim refugee" who raped his sister.	False	Racial Rumors	2018-02-12
Vyacheslav Ivanov, a former executive at Rosatom, was killed in a February 2018 plane crash as part of a "deep state" plot to cover up corruption by the Clintons.	False	Viral Phenomena	2018-02-12
A photograph shows a "Beware of Billionaire" hunters sign in Thailand.	False	Fauxtography	2018-02-12
Keanu Reeves gave an envelope of cash to a stranger in order to help pay for a kidney transplant.	False	Entertainment	2018-02-09
An image shows Nancy Pelosi's mansion in San Francisco and the large wall that protects the estate.	False	Politics	2018-02-12
A photograph shows a hermit crab using a human skull as a shell.	False	Fauxtography	2018-02-09
The ice in a photograph of a frozen river resembles the mask from the movie	False	Fauxtography	2018-02-09
Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.	False	Fake News	2018-02-09
A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	False	Viral Phenomena	2018-02-06
Over the course of his career, Democratic Congressman Joe Kennedy has received $348,000 in campaign contributions from the pharmaceutical industry.	True	Politics	2018-02-02
An explosion at Al Franken's Montana ranch killed six people.	False	Fake News	2018-02-07
A teacher assigned math homework that included references to sexual assault and prostitution.	True	Viral Phenomena	2018-02-06
A video shows President Trump's hair getting blown in the wind.	True	Fauxtography	2018-02-08
A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.	True	Science	2018-02-06
While in college, Attorney General Jeff Sessions was in a rock band whose lyrics and album titles championed the use of marijuana.	False	Politics	2018-02-07
A series of images show a Tesla vehicle in space.	True	Fauxtography	2018-02-07
A series of photograph show the skeletal remains of the biblical giant Goliath.	False	Fauxtography	2018-02-06
A Philadelphia Eagles fan stole an ostrich from the zoo and rode it through the streets in celebration of the team's Super Bowl victory.	False	Critter Country	2018-02-05
President Trump tweeted in 2015 that the president should be shot out of a cannon if the Dow drops more than 1,000 points.	False	Politics	2018-02-05
Actor Denzel Washington said electing President Trump saved the U.S. from becoming an "Orwellian police state."	False	Fake News	2018-02-05
Adam Schiff's sister Melissa was married to George Soros's son, Robert.	False	Fake News	2018-02-06
Armed Trump supporters protesting immigration demanded to know if a Native American legislator is in the United States "legally."	True	Viral Phenomena	2018-02-02
George Soros said "I've made my life's mission to destroy the United States. I hate this country and I hate all of the people in it."	False	Questionable Quotes	2018-02-02
A video shows Palestinian lawmakers dancing in response to Nikki Haley's threat to cut aid to the country in the wake of a controversial decision to move the U.S. embassy to Jerusalem.	False	Fauxtography	2018-02-02
A Greenpeace activist had his arm bitten off when he tried to hug a shark.	False	Fake News	2018-02-02
A photograph shows a security wall outside Joe Kennedy's Palm Beach house.	False	Fauxtography	2018-02-02
GlaxoSmithKline announced a new recall of Ventolin inhalers in February 2018.	False	Medical	2018-02-06
The Philadelphia Eagles responded to a tweet from President Trump congratulating the team on winning the Super Bowl by telling the Commander-in-Chief to go f*ck himself.	False	Fauxtography	2018-02-05
Jay-Z punched a 12-year-old girl after she tried to take his picture.	False	Fauxtography	2018-02-02
Julia Roberts warned Celine Dion that President Donald Trump would "make Obama's destroyed America great again" and to leave the U.S. if she didn't like him.	False	Politics	2018-02-01
Rev. Billy Graham once said, "The hard right has no interest in religion except to manipulate it."	True	Religion	2018-02-01
In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.	False	Technology	2018-02-01
The FDA has ruled that homeopathic drugs are now illegal.	False	Medical	2018-02-01
The American Civil Liberties Union issued a response to President Trump's 2018 State of the Union address complaining that he used the word "America" more than 80 times.	False	Politicians	2018-02-01
U.S. Ambassador to the United Nations Nikki Haley "accidentally confessed`-to being romantically involved with President Trump.	False	Politics	2018-02-01
A sign posted on a public beach by the city of Melbourne, Australia tells visitors to refrain from consuming of pork and alcohol and to be respectful during Islamic prayer times.	False	Fauxtography	2018-01-30
Photographs show House Minority Leader Nancy Pelosi scolding a fellow Democrat for standing during the State of the Union.	False	Fauxtography	2018-02-01
California schoolteacher Gregory Salcido called members of the United States military "the lowest of our low" during a classroom discussion.	True	Military	2018-01-30
A 400-pound woman sued a Paris zoo after an escaped hippo tried to rape her.	False	Fake News	2018-01-30
A woman seeking to bring her peacock along on a flight as an emotional support animal was denied permission to do so by United Airlines.	True	Business	2018-01-31
MIT offers a "pirate certificate" to students who complete four physical education courses.	True	Viral Phenomena	2018-01-31
The train carrying GOP members of Congress to a West Virginia retreat crashed due to a Deep State plot.	False	Politics	2018-01-31
A rare confluence of celestial events will bring what NASA terms a “super blue blood moon” to the skies on 31 January 2018.	True	Science	2018-01-29
Justin Timberlake said that “The whole concept of mandatory vaccination schedules is un-American.”	False	Fake News	2018-01-31
A woman posing as a "sex robot" became pregnant and filed a child support claim against her unsuspecting customer.	False	Fake News	2018-01-29
A few Democratic lawmakers were spotted checking their phones during President Trump's State of the Union address.	True	Fauxtography	2018-01-31
The world-famous mime artist Marcel Marceau worked with the French underground as a teenager and help save many Jewish children from death at the hands of the Nazis during World War II.	True	History	2018-01-29
A photograph shows a plane with banner reading "Where's my damn dinner?" flying over the Women's March.	False	Fauxtography	2018-01-30
The NFL announced that it will not be televising the national anthem before the Super Bowl in February 2018.	False	Fake News	2018-01-29
Tickets issued for President Trump's first State of the Union address contain a misspelling of the word "union."	True	Politicians	2018-01-29
An NFL "entertainment lawyer" was found dead hours after telling reporters that the upcoming Super Bowl was “rigged.”	False	Fake News	2018-01-29
President Trump offered that those who donate to reelection campaign on the day before his 2018 State of the Union address can have their name displayed during a Trump campaign-run livestream of the address.	True	Politics	2018-01-29
At the 2018 World Economic Forum in Davos, Switzerland, President Trump told billionaire George Soros to "go to hell."	False	Fake News	2018-01-30
Fox News Channel was banned in Australia and New Zealand after being deemed "propaganda."	False	Media Matters	2018-01-26
A priest with HIV who raped children was exonerated by the Catholic Church and then crucified.	False	Crime	2018-01-26
The International Astronomical Union (IAU) issued a press release stating that Pluto has been reclassified as a planet.	False	Fake News	2018-01-29
A forthcoming law means people in Sweden will have to carry a signed "sex consent card" to avoid allegations of rape.	False	Crime	2018-01-26
A photograph shows a mountain that closely resembles a frozen elephant.	False	Fauxtography	2018-01-29
Singer Dolly Parton (or actress Michelle Pfeiffer) said that "Trump in one year is already better than 16 years of Bush and Obama put together"	False	Fake News	2018-01-26
The FBI found $4 million in cash and two bodies in a storage unit belonging to the Democratic mayor of a Missouri town.	False	Fake News	2018-01-26
Australian officials are deploying a genetically-modified vaccine aerially without consent from residents.	False	Fake News	2018-01-25
President Trump's physician wrote a note declaring that the chief executive is not well enough to speak with Robert Mueller.	False	Fake News	2018-01-25
Heather Wick joked about having a slave as a maid in a January 2017 Facebook post.	True	Viral Phenomena	2018-01-25
Vice President Mike Pence will be stepping down from the GOP ticket in 2020 to run for a U.S. Senate seat in Indiana.	False	Fake News	2018-01-25
Sen. Jeff Klein (D-New York) is part of negotiations regarding anti-sexual harassment laws — after he was accused of the same offense.	True	Politics	2018-01-25
A video shows Pope Francis dancing merengue.	False	Fauxtography	2018-01-26
A sequel to the film "Crocodile Dundee" will be released in June 2018.	False	Viral Phenomena	2018-01-24
FBI agents formed a secret society to oppose President Donald Trump.	False	Politics	2018-01-26
A Republican candidate for U.S. Senate for Missouri, Courtland Sykes, said he "supports women’s rights" but not if that means women become "career obsessed banshees who forego home life and children and the happiness of family to become nail-biting manophobic hell-bent feminist she devils."	True	Politics	2018-01-25
Prominent Democrats took part in a “shutdown party” which included copious amounts of both Dom Perignon champagne and cocaine:	False	Fake News	2018-01-24
A Maryland man has been indicted in connection with the Uranium One investigation.	False	Politics	2018-01-24
In January 2018, Senator Tom Cotton called for drug testing for Social Security recipients.	False	Politics	2018-01-24
Robert Mueller will soon be resigning due to the disclosure of his long-term affair with House Minority Leader Nancy Pelosi:	False	Fake News	2018-01-25
Major retailers have begun keeping Tide brand laundry detergent PODS under lock and key to prevent people from eating them.	False	Viral Phenomena	2018-01-23
Stormy Daniels said in an interview that Donald Trump ordered little pizzas as toppings on a regular-sized pizza.	False	Fauxtography	2018-01-24
A new law in Mississippi makes it legal for atheist doctors and nurses to refuse care to religious patients.	False	Fake News	2018-01-25
Nancy Pelosi said that building a wall will violate the rights of "millions of 'illegals.'"	False	Politics	2018-01-23
In the United States, the lawyers' "bar" stands for "British Accredited Registry" and is part of a property-grabbing conspiracy.	False	Legal Affairs	2018-01-23
In January 2018, Ivanka Trump was shot and critically wounded in Washington, D.C.	False	Fake News	2018-01-25
Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	Politics	2018-01-23
The body of the Clintons' former housekeeper was found by Arkansas police.	False	Fake News	2018-01-24
The NFL admitted to rigging games in a style similar to professional wrestling.	False	Fake News	2018-01-24
Newsweek magazine reported that President Trump would be impeached and replaced by Hillary Clinton.	False	Politics	2018-01-23
A teaser trailer was released for a "Friends" movie.	False	Entertainment	2018-01-22
The Pentagon has disavowed knowledge of a stranded Air Force pilot after he successfully intercepted a missile near North Korea.	False	Fake News	2018-01-22
Barack Obama, George Soros, and other Democrats were involved in a plot to stage a military coup in conjunction with a government shutdown.	False	Fake News	2018-01-23
Customs agents boarded a Greyhound bus and asked passengers for proof of citizenship.	True	Politics	2018-01-22
The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	Politics	2018-01-20
Actor Sylvester Stallone said Barack Obama is a  ‘closet homosexual living a lie.'	False	Fake News	2018-01-23
First Lady Melania Trump banned the White House staff from receiving flu shots.	False	Fake News	2018-01-23
Eating alligator in New Orleans will help save the wetlands of Louisiana.	False	Science	2018-01-22
The Tide Challenge has caused the company to discontinue the sale of their PODs laundry product.	False	Fake News	2018-01-21
Actress Demi Moore proclaimed that she doesn't want Trump supporters for fans.	False	Fake News	2018-01-21
A televangelist disclaimed Donald Trump's alleged affair with a porn actress as "sharing the gospel."	False	Fake News	2018-01-21
In July 2016, Amanda Teague legally married the spirit of a Haitian pirate who died in the 1700s.	False	Viral Phenomena	2018-01-22
A video shows a device automatically sorting hundreds of small balls by color.	False	Fauxtography	2018-01-22
The name "Bluetooth," which refers to the standard for shortrange wireless connections, is derived from Viking king Harald Gormsson, who is credited with uniting Scandinavia.	True	History	2018-01-19
Photographs show a 7-month-old white fox that was skinned alive to make a fur coat for musician Lady Gaga.	False	Critter Country	2018-01-22
Members of Congress continue to get paid but military personnel do not during a U.S. government shutdown.	True	Military	2018-01-22
Hungarian-American billionaire George Soros bribed three Democratic senators to vote for a shutdown of the U.S. federal government.	False	Uncategorized	2018-01-22
Malia Obama was arrested after being caught drinking while underage and running naked across the Harvard campus.	False	Fake News	2018-01-21
New York senator Chuck Schumer accepted a campaign donation of half a million dollars from pro-immigration groups just prior to a crucial Congressional vote.	False	Fake News	2018-01-21
In January 2018, some women began using their menstrual blood as a face mask skin treatment.	False	Viral Phenomena	2018-01-19
Alarmed by instances of Marines imperiling their health by eating liquid laundry detergent, top Marine Corps leaders issued a warning to all junior troops to stop participating in the Tide Pod Challenge.	False	Fake News	2018-01-19
A "Do Not Adopt a Pitbull" ad will be airing during Super Bowl LII in February 2018.	False	Critter Country	2018-01-20
A Fresno man turned up at a local emergency room carrying a 5-foot-long tapeworm he pulled out of his own intestine.	True	Medical	2018-01-19
Donald Trump criticized President Barack Obama during the 2013 government shutdown for failing to "lead," "get everyone in a room," and "make a deal."	True	Politics	2018-01-20
A tourist's unfortunate bout of stomach upset on a Spanish roller coaster splashed liquid fecal matter on other customers.	False	Fake News	2018-01-18
President Trump said that a number of state laws allow a baby 'to be born from his or her mother’s womb in the ninth month.'	True	Politics	2018-01-20
Sen. Tom Cotton's office has sent "cease-and-desist" letters to constituents ordering them not to contact him.	True	Politics	2018-01-19
Facebook CEO Mark Zuckerberg bought a "super-yacht" for $150 million.	False	Technology	2018-01-19
Singer Katy Perry said everyone should try praying to Satan.	False	Fake News	2018-01-18
A Chinese engineer contracted an STD after having sexual intercourse with a sex robot prototype.	False	Fake News	2018-01-18
Rep. Sheila Jackson Lee (D-Tx.) tweeted that President Trump was determined to start a war with 'North Japan'.	False	Fake News	2018-01-18
New U.S. Army medics will be treating battlefield injuries with "alternative medicine" such as homeopathic dilutions and prayer beads.	False	Humor	2018-01-18
Melania Trump plagiarized a portion of a speech delivered by Michelle Obama in 2016 for her tweet commemorating Martin Luther King Day in 2018.	False	Fake News	2018-01-18
Former child star Macaulay Culkin said Hollywood is run by Satanic pedophiles, one of whom boasted that his shoes were made from the skin of deceased child actress Heather O'Rourke.	False	Fake News	2018-01-19
Former NFL star O.J. Simpson was rearrested while attempting to slip across the U.S.-Canada border.	False	Fake News	2018-01-17
The Norwegian Cruise Line posted a message on one of their ships explaining that the open pizza bar was for consumption only and asked passengers to refrain from having sex with their lunches.	False	Food	2018-01-16
A new division of the Department of Health and Human Services will allow doctors to refuse to treat LGBTQ patients for religious reasons.	True	Religion	2018-01-18
Beyoncé revealed that according to a DNA test, she is related to the Rockefellers and the British royal family.	False	Fake News	2018-01-17
A series of images show a "direct energy weapon" striking a city in Michigan.	False	Fauxtography	2018-01-18
A Centers for Disease Control and Prevention doctor said the flu vaccine is causing the deadly flu epidemic.	False	Medical	2018-01-17
Gabapentin is now considered the most dangerous drug in America and will surpass opioids as the largest prescription drug killer.	False	Medical	2018-01-17
A scene from a 2006 episode of the soap opera 'Lindenstrasse' is evidence of a German government effort to convince Germans to accept Muslims or become Muslim.	False	Religion	2018-01-17
President Trump's older sister, federal judge Maryanne Trump Barry, said Trump was called "Donnie Dimwit" as a child, and is now "acting like a nutjob."	False	Fake News	2018-01-16
Ten Democratic Congressmen demanded that Mount Rushmore be altered to accommodate the likeness of Martin Luther King, Jr.	False	Fake News	2018-01-15
The death from influenza of eight mostly vaccinated people over 65 in California's Santa Barbara County during the 2017-2018 flu season proves that you shouldn’t get the flu shot.	False	Medical	2018-01-15
A feminist wrote in an op-ed that men commit "telepathic rape" by masturbating to women they don't know.	False	Fake News	2018-01-16
Mohammed is now the most popular name for newborn boys in the Netherlands thanks to immigration.	False	Racial Rumors	2018-01-16
Dolly Parton said that the people of California were being punished with droughts, fires, mudslides and other natural disasters as punishment for embracing Satan.	False	Fake News	2018-01-12
H&M created an "Equally Racist" collection featuring children of various ethnicities in offensive clothing.	False	Fake News	2018-01-12
Donald Trump sold a Trump Tower apartment to the brutal and corrupt former Haitian leader Jean-Claude “Baby Doc” Duvalier.	True	Politics	2018-01-16
Lottery winner Shane Missler is giving away $5000 to the first 50,000 followers that retweet his post.	False	Fake News	2018-01-16
The "Tide pod challenge" is a real viral phenomenon whereby people bite into Tide brand laundry detergent pods.	True	Viral Phenomena	2018-01-12
Animated series "The Boondocks" had a scene about Oprah Winfrey's becoming president in 2020.	True	Politics	2018-01-10
In December 1915, San Diego agreed to pay $10,000 to "rainmaker" Charles Hatfield to bring an end to the region's drought; over the next few weeks the city was inundated by rain and suffered one of the worst floods in its history.	True	History	2018-01-15
Botswana condemned President Donald Trump's alleged remarks calling African nations "shithole countries."	True	Politics	2018-01-12
Netflix announced in April 2017 that it was creating a new 'Harry Potter' television series.	False	Entertainment	2018-01-11
Federal agents raided a mosque near Dearborn, MIchigan and arrested several ISIS combatants planning suicide attacks.	False	Fake News	2018-01-11
Norway announced that it was changing its name to "shithole."	False	Fake News	2018-01-15
Dr. Bandy Lee, who has warned the United States that Donald Trump is dangerously impaired, lacks a medical license.	False	Politics	2018-01-15
The "radiation" from cell phones is causing mass insanity resulting in "snowflake" people.	False	Technology	2018-01-10
Two observances important to Christianity fall on Valentine's Day and April Fools' Day in 2018.	True	Inboxer Rebellion	2018-01-11
IKEA released a magazine ad which includes a pregnancy test.	True	Medical	2018-01-11
A stuffed animal called "Trumpy Bear" is a real product available for purchase.	True	Entertainment	2018-01-11
Essential oils can be poisonous to cats.	True	Medical	2018-01-09
A Ghanaian immigrant and United States Army private named Emmanuel Mensah died after saving multiple lives in a Bronx apartment building fire.	True	Politics	2018-01-12
A police raid on a Tennessee congressman's property turned up a meth lab and fourteen pounds of methamphetamine.	False	Fake News	2018-01-09
A video of President Donald Trump apparently struggling to get the words right while singing along with the national anthem proves that he doesn't know what they are.	False	Politicians	2018-01-10
A woman named Shanell Rivers put blood and dog feces into various products at a Starbucks in Atlanta.	False	Business	2018-01-10
Drinking untreated spring water, marketed as "raw water," provides health benefits because they are "probiotic."	False	Medical	2018-01-11
The word "Dixie" was removed from a popular Civil War-themed dinner show in Tennessee.	True	Politics	2018-01-10
Katy Perry, Meryl Streep, and Chelsea Clinton are members at an elite cannibal restaurant in Los Angeles.	False	Fake News	2018-01-10
Oprah Winfrey brushed off accusations against Hollywood producer Harvey Weinstein, saying "this is just how it is" for people who want to get ahead in the media industry.	False	Entertainment	2018-01-09
Photographs show snow in the Sahara Desert in January 2018.	True	Uncategorized	2018-01-09
Three New Jersey state senators were arrested in connection with a child prostitution ring.	False	Fake News	2018-01-10
University of Alabama running back Bo Scarbrough lost his scholarship over an anti-Trump outburst.	False	Fake News	2018-01-10
Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.	False	Questionable Quotes	2018-01-10
A defunct Chinese space station is expected to fall back to Earth in mid-March 2018.	True	Science	2018-01-08
A video showed an alien boarding a spaceship in Romania in January 2018.	False	Fauxtography	2018-01-08
President Donald Trump was "feared dead" after a small fire broke out at his New York City building.	False	Politics	2018-01-08
Aquafina bottled water doesn’t freeze.	False	Science	2018-01-09
Former Presidents Barack Obama, Bill Clinton, and George W. Bush mocked President Trump on Twitter about his tweet bragging about winning the election on his first try.	False	Fauxtography	2018-01-09
A Muslim waitress refused to seat a church group at a restaurant, claiming "religious freedom" allowed her to do so.	False	Fake News	2018-01-07
A photograph shows Oprah Winfrey kissing Harvey Weinstein on the cheek.	True	Politics	2018-01-09
Seattle has imposed an excise tax on the distributors of sweetened drinks.	True	Politics	2018-01-06
Former president Barack Obama's foundation is being investigated for racketeering.	False	Fake News	2018-01-09
A man was beaten to death by his girlfriend because she had a dream that he cheated on her with a waitress at a golf course.	False	Fake News	2018-01-07
